CS3530,3630POMPOSO,ADANSI,MTN,91.7,0.000501,,,923.2,,,,942.7,,,,1810,0.000173,,,1815,,,,1819,,,,2122,0.000136,,,2124,,,,,,,
,Akapporiso,ADANSI,AIRTEL,926.2,0.000149,,,936.7,,,,954.2,,,,1818,0.000129,,,1824,,,,1830,,,,0,,,,,,,,,,,
,Nyankumaso,ADANSI,AIRTEL,919.7,0.000189,,,945.7,,,,957.4,,,,1844,0.000101,,,1847,,,,1850,,,,2120,0.000127,,,2124,,,,2126,,,
CS1681,1681APAGYA,ADANSI EAST,MTN,915.7,0.000215,,,951.7,,,,962.2,,,,1818,0.000289,,,1820,,,,1825,,,,2120,0.000255,,,2125,,,,2135,,,
,1692KWABENAKWA,ADANSI EAST,MTN,932.2,0.000745,,,954.2,,,,959.7,,,,1821,0.000164,,,1826,,,,1829,,,,2120,0.000214,,,2124,,,,2126,,,
CS 1698,1698ASONKORE_OB,ADANSI EAST,mtn,911.2,0.00025034,,,917.7,,,,958.7,,,,1814,0.00016328,,,1819,,,,1821,,,,2122,0.00004908,,,2147,,,,2129,,,
CS3712,3712KOWEA,ADANSI EAST,MTN,920.2,0.000641,,,944.2,,,,932.7,,,,1801,0.000161,,,1812,,,,1820,,,,2122,0.000121,,,,,,,,,,
CS2227/ASB1233,ADANSI_BROFOYEDRU,ADANSI NORTH,VODAFONE,922.2,0.000167,,,936.7,,,,946.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS2439,Akrokerri,ADANSI NORTH,TIGO,931.2,0.000138,,,953.2,,,,99.2,,,,1808,0.0000348,,,1829,,,,1899,,,,2163,0.0000367,,,,,,,,,,
CS2262,AKWANSEREM,ADANSI NORTH,VODAFONE,9272.2,0.000542,,,938.7,,,,946.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS2526,ANHWIASO,ADANSI NORTH,VODAFONE,945.2,0.00039,,,959.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS2690/ASB1206,ASOKWA_JUNCTION,ADANSI NORTH,VODAFONE,925.7,0.000353,,,931.2,,,,945.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS2928/ASB1135,BODWESANGO,ADANSI NORTH,VODAFONE,933.7,0.000476,,,944.7,,,,953.7,,,,1821,0.0000458,,,1860,,,,1866,,,,,,,,,,,,,,,
,DCS_NEW_EDUBIASE,ADANSI NORTH,VODAFONE,914.2,0.000284,,,918.7,,,,922.7,,,,1809,0.008919,,,1812,,,,1818,,,,2121,,,,2126,,,,2127,,,
CS35T20/ASB1055,DOMPOASE_GT,ADANSI NORTH,VODAFONE,925.7,0.0000236,,,932.2,,,,951.2,,,,,,,,1853,0.002525,,,,,,,,,,,,,,,,,,
CS 3675,Fomena,ADANSI NORTH,Tigo,935.2,0.0003601,,,955.2,,,,958.7,,,,1830,0.00006106,,,1828,,,,1826,,,,2122,0.00004883,,,2163,,,,,,,
CS3696/ASR1210,FUMSO,ADANSI NORTH,VODAFONE,936.2,0.000275,,,945.7,,,,953.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASB/3500,WHEREMOASE,ADANSI NORTH,VODAFONE,925.7,0.00007268,,,948.7,,,,949.2,,,,,,,,,,,,,,,,2138,0.00012615,,,2163,,,,,,,
CS4498/1261,New Edubiase,ADANSI SOUTH,TIGO ,937.2,0.0000687,,,943.7,,,,939.2,,,,1832,0.00021,,,1844,,,,1877,,,,2147,0.0000226,,,,,,,,,,
CS4500/ASR1057,NEW_EDUBIASE,ADANSI SOUTH,VODAFONE,939.2,0.002686,,,943.7,,,,951.2,,,,1880,0.000205,,,1892,,,,1896,,,,2150,0.005273,,,,,,,,,,
AR 0663,0663AGONA,AFIGYA SEKYERE,MTN,957.2,0.00000009,,0.09,1850,0.002163,,0.14,2163,0.000025,,0.27,957.2,0.00000028,,0.09,1842,,,0.28,2162,,,0.13,,,,,,,,,,,,
1610,1610AHENKRO,AFIGYA SEKYERE,MTN,958.2,0.00000058,,0.58,1860,,,1.15,,0.00003,,,958.1,0.00000011,,0.76,1860,0.0009592,,0.11,,0.000063,,,959.2,,,0.72,1860,,,0.11,,,,
,Agona,AFIGYA SEKYERE,AIRTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB 1053,AGONA_GT,AFIGYA SEKYERE,VODAFONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASB 1185,CIC_NKWANTA_KESSE,AFIGYA SEKYERE,VODAFONE,944.2,0.00000026,,0.26,,0.00216,,,2160,0.000039,,0.32,945.2,0,,0.23,,0.0009467,,,2160,0,,0.26,946.7,0.00000025,,0.32,,,,,2160,,,0.25
,Efidwase,AFIGYA SEKYERE,EXPRESSO,957.2,0.00000006,,0.06,1854,0.002138,,0.09,2138,0.000039,,0.02,945.2,0.00000003,,0.13,1854,0.0009457,,0.03,2169,0.000043,,0.04,945.7,0.00000002,,0.05,1854,,,0.09,2136,,,0.02
ASB 1215,TANO_ODUMASI,AFIGYA SEKYERE,VODAFONE,947.7,0.00000026,,0.26,,0.002162,,,2162,0.000023,,0.14,946.2,0,,0.79,,0.0002447,,,2158,0,,0.14,244.7,0.00000014,,0.44,,,,,2169,,,0.14
,Wiamose,AFIGYA SEKYERE,AIRTEL,931.7,0.00095895,,,947.2,,,,950.7,,,,1811,0.00034647,,,1823,,,,1854,,,,2122,0.00092718,,,2164,,,,2164,,,
,3600ANYINASUSO,AHAFO ANO SOUTH,MTN,954.2,0.00000091,,0.91,,,,,,0.000019,,,955.2,0,,1.06,1830,0.0009552,,0,,0,,,955.2,,,0.47,,,,,,,,
,Dwoamin,AMANSIE,AIRTEL,918.8,0.000321,,,921.7,,,,930.2,,,,1800,0.000312,,,1809,,,,1818,,,,2121,0.000214,,,2129,,,,2139,,,
,Jacobu - Ashanti,AMANSIE,AIRTEL/TIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS438/1859,Manso Adubia,AMANSIE,TIGO,922.7,0.0000813,,,931.2,,,,947.2,,,,1815,0.0000858,,,1824,,,,,,,,,,,,,,,,,,,
CS4609/1825,NYINAHIN,AMANSIE,TIGO,946.7,0.000857,,,939.2,,,,946.7,,,,1823,0.000453,,,1816,,,,,,,,,,,,,,,,,,,
CS2547,Anwia Nkwanta,AMANSIE  CENTRAL,TIGO,930.2,0.000125,,,938.7,,,,953.7,,,,1829,0.00086,,,,,,,,,,,,,,,,,,,,,,
CS3857/1822,Jacobu,AMANSIE CENTRAL,TIGO/AIRTEL,931.2,0.048299,,,937.7,,,,954.7,,,,,0.00182,,23.59,1844,,,,1860,,,,,,,,,,,,,,,
CS2B71/ASB1011,0380BEKWAI_RBT,AMANSIE EAST,MTN,937,0.00033,,,947.2,,,,951.2,,,,1806,0.000308,,,1836,,,,1844,,,,2136,0.0000433,,,2163,,,,2170,,,
