BR 2621,2621ABESEWA,Abesewa,MTN,957.2,,36,1.79,1841,0.000069,69.00,0,,0,,,955.7,0.000023,23.00,0.65,1841,0.000064,64.00,0,,,,,953.7,0.000021,,21.00,0.83,1835,0.00006,60.00,0.01,,,,,,,,
1969,1969ACHERENSUA,Acherensua,MTN,954.2,0.00000015,27,0.39,1860,0.000069,69.00,0.15,,0,,,958.2,0.000026,26.00,0.46,1860,0.000063,63.00,0.11,,,,,958.2,0.000031,,31.00,0.27,1860,0.000067,67.00,0.07,,,,,,,,
1890,Akyerensua,Acherensua,Tigo,945.2,,29,0.39,1829,0.000068,68.00,0,,0,,,946.7,0.000034,34.00,0.28,1823,0.000062,62.00,0,,,,,945.2,0.000033,,33.00,0.35,1823,0.000069,69.00,0,,,,,,,,
AS1232,Mankraso,Ahafo Ano South,TIGO,946.7,0.00000006,33,0.21,1860,0.000067,67.00,0.06,,0,,,951.2,0.000032,32.00,0.29,1842,0.000035,35.00,0.21,,,,,955.7,0.00005,,50.00,0.4,1844,0.000039,39.00,0.14,,,,,,,,
1931,1931AHWEREWAN,AHWEREWAN,MTN,958.2,0.00000001,51,0.93,1880,0.000064,64.00,0.01,,0,,,957.2,0.000028,28.00,0.74,1880,0.000065,65.00,0.00,,,,,957.2,0.000029,,29.00,1.04,1880,0.000064,64.00,0.00,,,,,,,,
2662,2662ASUADEI,ASUADAE,MTN,959.2,0.000051,51,1.05,,0,,,,0,,,954.7,0.000019,19.00,1.02,,,,,,,,,955.7,0.00002,,20.00,0.91,,,,,,,,,,,,
2662,2662ASUADEI,ASUADE,MTN,959.2,,51,1.05,,0,,,,0,,,954.7,0.000019,19.00,1.02,,,,,,,,,955.7,0.00002,,20.00,0.91,,,,,,,,,,,,
BR 0660,0660CHIRAA,BA,MTN,956.70,0.00000044,26,0.45,954.2,0.000026,26.00,0.44,959.2,0.000024,24.00,0.55,1854,0.000032,32.00,0.32,1853,0.000039,39.00,0.14,1853,0.000052,52.00,0.03,,,,,,,,,,,,,,,,,
BR0676,0676BEREKUM,BA,MTN,955.70,0.00000065,21,0.65,959.2,0.000023,23.00,0.65,958.2,0.00002,20.00,0.96,1851,0.000035,35.00,0.23,1851,0.000033,33.00,0.28,1851,0.000034,34.00,0.24,2136,0.000056,,56.00,0.03,2138,0.000062,62.00,0.01,2136,,61.00,0.01,,,,
714,0714NEW_DROBO,BA,MTN,955.20,0.00000029,22,0.75,955.2,0.00003,30.00,0.29,959.2,0.000028,28.00,0.38,1830,0.000034,34.00,0.24,1830,0.000037,37.00,0.18,1860,0.000034,34.00,0.25,,,,,,,,,,,,,,,,,
1262,0802SAMPA,BA,MTN,952.20,,63,0,,0,,,,0,,,9054.2,0.000055,55.00,0.01,,,,,954.2,0.000057,57.00,0.01,,,,,,,,,,,,,,,,,
BR 0957,0957DUADASO,BA,MTN,957.20,0.00000084,18,1.13,954.1,0.000021,21.00,0.84,959.2,0.000022,22.00,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0971,0971SUM_AHENKRO,BA,MTN,959.20,0.00000077,23,0.61,958.2,0.000021,21.00,0.77,953.7,0.000023,23.00,0.66,1803,0.00007,70.00,0,1803,0.00007,70.00,0,,,,,,,,,,,,,,,,,,,,,
1603,1603FETENTAA,BA,MTN,958.20,0.0000007,25,0.49,958.2,0.000022,22.00,0.7,953.2,0.000029,29.00,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1642BAMBOI,BA,MTN,959.20,0.00000109,20,0.95,954.7,0.000019,19.00,1.09,954.7,0.000018,18.00,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,1656GOKA,BA,MTN,959.20,0.00000002,48,0.03,955.2,0.000052,52.00,0.02,957.7,0.000061,61.00,0,1860,0.000068,68.00,0,1860,0.000069,69.00,0,1860,0.00006,60.00,,,,,,,,,,,,,,,,,,
1677,1677BONSANKRO,BA,MTN,952.70,0.00000033,23,0.65,951.2,0.000029,29.00,0.33,951.2,0.000018,18.00,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,1905SAMPA_2,BA,MTN,957.70,0.00000089,22,0.72,957.5,0.00002,20.00,0.89,958.7,0.000023,23.00,0.68,1860,0.000058,58.00,0.01,1860,0.000059,59.00,0.01,,,,,,,,,,,,,,,,,,,,,
BR1958,1958JINIJINI,BA,MTN,958.20,0.00000085,24,0.75,953.1,0.000022,22.00,0.85,959.2,0.00002,20.00,0.92,1830,0.000036,36.00,0.2,1860,0.000033,33.00,0.28,1860,0.000036,36.00,0.2,,,,,,,,,,,,,,,,,
1961,1961SENASE_2,BA,MTN,957.20,0.00000036,29,0.42,957.2,0.000028,28.00,0.36,958.2,0.000025,25.00,0.52,1868,0.000029,29.00,0.42,1860,0.00004,40.00,0.12,1853,0.000033,33.00,0.27,2136,0.000067,,67.00,0,2139,0.000066,66.00,0,2136,,65.00,0,,,,
1962,1962DWENEM,BA,MTN,944.70,,68,0,944.7,0.000068,68.00,0,953.7,0.000021,21.00,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,1965NEW_ DORMAA,BA,MTN,957.20,0.00000005,45,0.04,958.2,0.000044,44.00,0.05,957.2,0.000045,45.00,0.05,1860,0.000055,55.00,0.02,1860,0.000052,52.00,0.03,2163,0.000054,54.00,0.02,2163,0.000056,,56.00,0.02,2163,0.000065,65.00,0.02,2163,,54.00,0.02,,,,
1966,1966BOMAA,BA,MTN,958.20,0.00000097,20,0.98,955.2,0.00002,20.00,0.97,952.2,0.000025,25.00,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,1975ADAMSU,BA,MTN,957.20,0.00000061,23,0.62,957.2,0.000023,23.00,0.61,951.7,0.000021,21.00,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,1977ASIRI,BA,MTN,957.70,0.00000055,22,0.74,956.4,0.000024,24.00,0.55,959.2,0.000024,24.00,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,1981KOKOA,BA,MTN,958.20,0.00000005,48,0.03,957.7,0.000044,44.00,0.05,957.7,0.000045,45.00,0.04,1860,0.000065,65.00,0,1860,0.000068,68.00,0,1860,0.000069,69.00,,,,,,,,,,,,,,,,,,
1983,1983KORASO,BA,MTN,955.20,0.00000055,16,1.42,955.2,0.000024,24.00,0.55,956.2,0.000029,29.00,0.33,1860,0.000066,66.00,0,,,,,1821,0.000067,67.00,0,,,,,,,,,,,,,,,,,
2621,2621ABESEWA,BA,MTN,957.20,0.00000153,14,1.74,953.7,0.000015,15.00,1.53,955.2,0.000019,19.00,0.98,,0.000056,56.00,0.02,1832,0.000059,59.00,0.01,,0.000057,57.00,0.01,,,,,,,,,,,,,,,,,
2626,2626PREMOASE,BA,MTN,954.70,0.000022,22,,954.7,0.000022,22.00,,958.7,0.00003,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2628,2628BEREKUM_3,BA,MTN,955.20,0.0000009,28,0.38,943.7,0.00002,20.00,0.9,944.2,0.000026,26.00,0.43,1851,0.000031,31.00,0.34,1851,0.000031,31.00,0.34,1866,0.000033,33.00,0.27,2162,0.000036,,36.00,0.22,2163,0.000037,37.00,0.2,2162,,37.00,0.19,,,,
2629,2629GAMBIA_NO2,BA,MTN,959.20,0.00000108,24,0.55,954.7,0.000019,19.00,1.08,958.7,0.00002,20.00,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,2666TECHIMAN_4,BA,MTN,952.70,0.0000002,20,0.1,958.7,0.000017,17.00,0.2,958.7,0.00002,20.00,0.22,1851,0.000032,32.00,0.4,1851,0.000034,34.00,0.38,1851,0.000031,31.00,0.03,2163,0.000042,,42.00,0.02,2163,0.000035,35.00,0.02,2163,,39.00,0.41,,,,
2674,2674PENKWASE,BA,MTN,959.20,0.00000008,43,0.06,959.2,0.000042,42.00,0.08,959.2,0.000042,42.00,0.07,1860,0.000054,54.00,0.02,1860,0.000048,48.00,0.03,1860,0.000048,48.00,0.05,2163,0.000051,,51.00,0.04,2162,0.000051,51.00,0.04,2162,,66.00,0,,,,
2675,2675KWASIBUOKRO,BA,MTN,957.20,0.00000141,18,1.21,958.2,0.000016,16.00,1.41,1860,0.000036,36.00,0.2,1860,0.000038,38.00,0.15,1860,0.000035,35.00,0.22,,,,,,,,,,,,,,,,,,,,,
2683,2683AYOMASO,BA,MTN,958.20,0.00000097,21,0.02,954.2,0.00002,20.00,0.97,958.2,0.00002,20.00,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,2689NAMASUA,BA,MTN,958.20,0.00000129,17,1.29,958.2,0.000017,17.00,1.29,958.2,0.000016,16.00,1.45,1853,0.000041,41.00,0.11,1853,0.000039,39.00,0.13,1853,0.000046,46.00,0.06,,,,,,,,,,,,,,,,,
2692,2692ADENTIA,BA,MTN,954.20,0.00000012,40,0.09,958.2,0.000018,18.00,0.12,955.2,0.000015,15.00,1.57,1860,0.000067,67.00,0,1860,0.000067,67.00,0,1823,0.000063,63.00,0,,,,,,,,,,,,,,,,,
2698,2698SUBRISO,BA,MTN,954.20,0.00000089,25,0.47,957.2,0.00002,20.00,0.89,958.7,0.000023,23.00,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 2741,2741NSUTA_BR,BA,MTN,957.70,0.0000007,18,0.56,955.2,0.000022,22.00,0.7,956.2,0.000024,24.00,0.57,1860,0.000044,44.00,0.07,1851,0.000041,41.00,0.1,1860,0.000042,42.00,0.1,,,,,,,,,,,,,,,,,
