site id,site name,location,operator,f1(MHz),pd1(W/m2),pd1(W/m2),pd1(W/m2),ic1(W/m2),f2(MHz),,pd2(W/m2),pd2(W/m2),ic2(W/m2)f3(MW/m2),f3(MHz),pd3(W/m2),pd3(W/m2),ic3(W/m2),  f4(MHz),pd4(W/m2),pd4(W/m2),ic4(W/m2),f5(MHz),pd5(W/m2),pd5(W/m2),ic5(W/m2),f6(MHz),pd6(W/m2),pd6(W/m2),ic6(W/m2),f7(MHz),pd7(W/m2),pd7(N/m2),ic7(W/m2),f8(MHz),pd8(W/m2),pd8(W/m2),ic8(W/m2),f9(MHz),pd9(W/m2),pd(W/m2),ic9(W/m2),f10(MHz),pd10(W/m2),pd(W/m2),1c10
,ABOTOASE,ABOTOASE,TIGO,879.7,0.00002332,23.32,,0,877.4,,0.00002391,23.91,0.99,879,0.00002723,27.23,0,879,0.00002102,21.02,0,880.5,0.0000217,21.7,0,880.5,0.00002073,20.73,0,879.7,0.00001549,15.49,0,877.4,0.00001943,19.43,0,882.8,0.00002907,29.07,0,879.7,0.00004439,44.39,0.01
6567,TAPA_ABOTOASE,ABOTOASE,VODAFONE,879.7,0.0000154,15.4,,0,879.7,,0.00002026,20.26,0,879.7,0.00002328,23.28,0,879.7,0.00002086,20.86,0,879.7,0.00002149,21.49,0,859.8,0.00001741,17.41,0,879.7,0.000028,28,0,879.7,0.00001539,15.39,0,879.7,0.00008727,87.27,0.01,,0,,
,ABUTIA,ABUBIA,VODAFONE,944.7,0.00009192,91.92,,0.44,953.2,,0.00006709,67.09,0.37,948.2,0.00006553,65.53,0.37,945.7,0.0001097,109.7,0.49,945.7,0.00015144,151.44,0.56,952.7,0.00013738,137.38,0.53,953.2,0.00010789,107.89,0.47,944.7,0.00016108,161.08,0.58,955.2,0.00005446,54.46,0.33,953.7,0.0000784,78.4,0.4
z,Abutia,ABUKIA,TIGO,944.7,0.00009192,91.92,,0.44,953.2,,0.00006709,67.09,0.37,948.2,0.00006553,65.53,0.37,945.7,0.0001097,109.7,0.49,945.7,0.00015144,151.44,0.56,952.7,0.00018538,185.38,0.53,953.2,0.00010789,107.89,0.47,944.7,0.00016108,161.08,0.58,958.2,0.00005446,54.46,0.33,953.7,0.0000784,78.4,0.4
,1702ABUTIA,ABUTIA,MTN,953.2,0.000241,241.03,0.00024103,0.7,959.2,,0.0003809,380.9,.1.1,959.2,0.000366,365.99,0.87,959.7,0.0002246,224.64,0.68,959.2,0.0002315,231.45,0.73,958.2,0.0006205,620.47,1.13,958.7,0.0003001,300.13,0.94,955.2,0.0004092,409.18,0.92,953.2,0.0009033,903.3,1.37,953.2,0.0004245,424.5,0.94
,1702ABUTIA,ABUTIA,MTN,953.2,0.000241,241.03,0.00024103,0.7,959.2,,0.0003809,380.9,1.1,959.2,0.000366,365.99,0.87,959.7,0.0002246,224.64,0.68,959.2,0.0002315,231.45,0.73,958.2,0.0006205,620.47,1.13,958.7,0.0003001,300.13,0.94,958.2,0.0004092,409.18,0.92,953.2,0.0009033,903.3,1.37,953.2,0.0004245,424.5,0.94
,4814ABUTIA_VF,ABUTIA,VODAFONE/MTN,958.7,0.00014382,143.82,,0.54,958.7,,0.00025596,255.96,0.73,957.7,0.0002838,283.8,0.86,952.2,0.00009019,90.19,0.45,955.7,0.00004671,46.71,0.31,959.2,0.0001149,114.9,0.5,955.7,0.00020638,206.38,0.65,955.7,0.0002617,261.7,0.76,955.7,0.00021063,210.63,0.66,959.2,0.00014068,140.68,0.72
,4814ABUTIA_VF,ABUTIA,MTN/VODAFONE,958.7,0.00014382,143.82,,0.54,958.7,,0.00025596,255.96,0.73,957.7,0.0002838,283.8,0.86,952.2,0.00009019,90.19,0.45,955.7,0.00004671,46.71,0.31,959.2,0.0001149,114.9,0.5,955.7,0.00020638,206.38,0.65,955.7,0.0002617,261.7,0.76,955.7,0.00021063,210.63,0.66,959.2,0.00014068,140.68,0.72
,ABUTIA,ABUTIA,TIGO,944.7,0.00009192,91.92,,0.44,953.2,,0.00006709,67.09,0.37,945.2,0.00006553,65.53,0.37,945.7,0.0001097,109.7,0.49,945.7,0.00015144,151.44,0.56,952.7,0.00018538,185.38,0.53,953.2,0.00010789,107.89,0.47,944.7,0.00016108,161.08,0.53,958.2,0.00005446,54.46,0.33,953.7,0.0000784,78.4,0.4
,ABUTIA,ABUTIA,VODAFONE,944.7,0.00009192,91.92,,0.44,953.2,,0.00006709,67.09,0.37,948.2,0.00006553,65.53,0.37,945.7,0.0001097,109.7,0.49,945.7,0.00015144,151.44,0.56,952.7,0.00013738,137.38,0.53,953.2,0.00010789,107.89,0.47,944.7,0.00016108,161.08,0.58,958.2,0.00005446,54.46,0.33,953.7,0.0000784,78.4,0.4
,ABUTIA_KISSIFLUI,ABUTIA,VODAFONE,958.7,0.00014382,143.82,,0.54,958.7,,0.00025596,255.96,0.73,957.7,0.0002838,283.8,0.86,952.2,0.00009019,90.19,0.45,955.7,0.00004671,46.71,0.37,957.2,0.0001149,114.9,0.5,955.7,0.00020638,206.38,0.65,955.7,0.0002617,261.7,0.76,955.7,0.00021063,210.63,0.66,959.2,0.00014068,140.68,0.72
,3890ADKLU_TORDA,ADAKLU,MTN,952.7,0.0001223,122.29,0.00012229,0.5,954.7,,0.0000243,24.27,0.22,954.7,0.0001699,169.92,0.62,954.7,0.0000867,86.74,0.42,953.2,0.00006,60.04,0.35,959.2,0.0001591,159.09,0.57,958.7,0.0002258,225.75,0.68,953.2,0.000137,137.04,0.6,959.7,0.0002794,279.36,0.76,959.2,0.0001716,171.59,0.63
GH0250,AFIADAGLO,AFIADAGLO,AIRTEL,955.2,0.00005356,53.56,,0.33,954.2,,0.00006061,60.61,0.38,952.7,0.00005302,53.02,0.33,946.7,0.00002233,22.33,0.21,954.7,0.00001801,18.01,0.19,953.7,0.00000548,5.48,0.1,955.2,0.00000342,3.42,0.08,955.2,0.00001839,18.39,0.26,953.2,0.00006624,66.24,0.37,984.7,0.00001681,16.81,0.18
  ,Afiadenyigba,AFIADENYIGHA,AIRTEL,955.2,#VALUE!,53.56.,,0.33,954.2,,0.00006061,60.61,0.35,952.7,0.00005302,53.02,0.33,946.7,0.00002232,22.32,0.21,954.7,0.00001801,18.01,0.19,953.7,0.00000548,5.48,0.1,955.2,0.00000343,3.43,0.08,955.2,0.00001839,18.39,0.26,953.2,0.00006604,66.04,0.37,954.7,0.00001651,16.51,0.18
,Aflao,AFLAO,TIGO,952.7,0.00014932,149.32,,0.01,957.2,,0.00027633,276.33,0.02,952.7,0.0004489,448.9,0.03,957.2,0.00066465,664.65,0.03,952.7,0.00025237,252.37,0.02,952.7,0.0004339,433.9,0.03,959.7,0.00033519,335.19,0.02,957.7,0.00020771,207.71,0.02,958.2,0.00012954,129.54,0.01,957.2,0.00026746,267.46,0.02
,Aflao,AFLAO,AIRTEL,959.2,0.00022371,223.71,,0.72,959.2,,0.00020905,209.05,0.66,954.2,0.00021065,210.65,0.66,959.2,0.00011031,110.31,0.53,959.2,0.0001713,171.3,0.63,956.7,0.00016054,160.54,0.57,956.7,0.00049153,491.53,1.01,956.7,0.00021957,219.57,0.72,955.7,0.00082681,826.81,1.71,956.2,0.00011579,115.79,0.49
,Aflao,AFLAO,AIRTEL,959.2,0.00022371,223.71,,0.72,959.2,,0.00020985,209.85,0.66,959.2,0.00021065,210.65,0.66,959.2,0.00011031,110.31,0.53,959.2,0.0001713,171.3,0.63,956.7,0.00006084,60.84,0.57,156.7,0.00049153,491.53,1.01,956.7,0.00024957,249.57,0.72,955.7,0.00082681,826.81,1.31,956.2,0.00011579,115.79,0.49
,Aflao Border 1800,AFLAO,TIGO,957.2,0.00044109,441.09,,0.97,948.2,,0.00069792,697.92,1.21,948.2,0.00085871,858.71,1.34,954.2,0.00065165,651.65,1.46,954.2,0.00052234,522.34,1.09,950.2,0.00075499,754.99,1.43,954.2,0.00046793,467.93,0.98,954.2,0.00050527,505.27,1.02,948.2,0.00096115,961.15,1.42,954.2,0.00066483,664.83,1.18
,Aflao Border 1800,AFLAO,TIGO,957.2,0.00044109,441.09,,0.97,948.2,,0.00069792,697.92,1.21,948.2,0.00085871,858.71,1.34,954.2,0.00016163,161.63,1.16,954.2,0.00052234,522.34,1.09,950.2,0.00075499,754.99,1.43,954.2,0.00046793,467.93,0.98,954.2,0.00046793,467.93,0.02,948.2,0.00096115,961.15,1.42,954.2,0.00066483,664.83,1.18
,AFLAO_GT,AFLAO,VODAFONE,948.7,0.00000235,2.35,,0.07,959.2,,0.00000332,3.32,0.08,959.2,0.00000556,5.56,0.1,946.7,0.00002303,23.03,0.22,959.2,0.00000506,5.06,0.1,951.2,0.00000243,2.43,0.67,946.2,0.00058402,584.02,0.03,956.2,0.00044743,447.43,0.03,955.2,0.00023358,233.58,0.02,948.7,0.00014421,144.21,0.01
VR 3769,3769AGAVEDZI,AGAVEDZI,MTN,944.2,0.0002884,288.4,0.0002884,0.02,944.2,,0.0000534,53.44,0.01,957.2,0.0000503,50.32,0.01,957.2,0.0000314,31.37,0,957.2,0.0000558,55.8,0.01,944.2,0.0000398,39.84,0,957.2,0.000061,60.97,0.01,946.2,0.0000354,35.42,0.01,945.7,0.0001442,144.23,0.01,944.2,0.0000636,63.63,0.01
,3748AGBLEDOME,AGBLEDOME,MTN,959.2,0.0000065,6.53,0.00000653,0.11,958.2,,0.000488,488.01,1,958.2,0.0002181,218.08,0.67,956.7,0.0009423,942.25,1.47,958.2,0.0000011,1.07,1.59,958.2,0.0004192,419.22,0.93,958.2,0.0004527,452.68,0.97,958.2,0.0000184,18.39,0.19,955.2,0.0000013,1.3,1.64,958.7,0.0005221,522.1,1.04
,Agbozome,AGBOZUME,TIGO,954.2,0.00001805,18.05,,0.23,959.2,,0.00002096,20.96,0.22,957.2,0.00001885,18.85,0.19,956.7,0.00005132,51.32,0.32,951.2,0.00012522,125.22,0.51,950.2,0.00009447,94.47,0.46,950.2,0.00005687,56.87,0.34,951.7,0.00009137,91.37,0.43,950.7,0.00011147,111.47,0.48,957.7,0.00004683,46.83,0.31
,Ahamansu,AHAMASU,EXPRESSO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AHAMASU,AHAMASU,VODAFONE,959.6,0.00001814,18.14,,0,959.8,,0.00001864,18.64,0,949.6,0.00002075,20.75,0,959.6,0.0000222,22.2,0,959.6,0.00000288,2.88,0,959.6,0.00001814,18.14,0,989.8,0.00001864,18.64,0,949.6,0.00002075,20.75,0,989.6,0.0000222,22.2,0,989.6,0.00000288,2.88,0
,AHAMASU,AHAMASU,VODAFONE,959.6,0.00001814,18.14,,0,959.8,,0.00001864,18.64,0,949.6,0.00002075,20.75,0,959.6,0.0000222,22.2,0,959.6,0.00000288,2.88,0,959.6,0.00001814,18.14,0,595.8,0.00001864,18.64,0,959.6,0.00002075,20.75,0,959.6,0.0000212,21.2,0,989.6,0.00000288,2.88,0
not sure ,0784AKATSI,AKATSI,MTN,955.2,0.0002462,246.18,0.00024618,0.76,959.2,,0.0004988,498.82,1.09,955.2,0.000529,529.03,1.05,955.2,0.0003343,334.26,0.88,955.7,0.0007792,779.24,1.27,955.2,0.0006973,697.28,1.21,959.2,0.0003978,397.78,0.91,957.2,0.000163,163.01,0,959.7,0.0002467,246.69,0.94,959.2,0.0004616,461.62,1.01
1728,1728AKATSI_2,AKATSI,MTN,955.2,0.0002462,246.18,0.00024618,0.76,959.2,,0.0004988,498.82,1.09,955.2,0.000529,529.03,1.05,955.2,0.0003343,334.26,0.88,955.7,0.0007792,779.24,1.27,955.2,0.0006973,697.28,1.21,959.2,0.0003978,397.78,0.91,957.2,0.0001639,163.87,0.94,959.7,0.0002467,246.69,0.94,957.2,0.0004616,461.62,0.01
not sure ,1728AKATSI_2,AKATSI,MTN,958.7,0.0000808,80.76,0.00008076,0.41,958.2,,0.0000846,84.55,0.42,958.7,0.0000319,31.91,0.25,958.2,0.0000312,31.2,0.25,958.2,0.0000125,12.49,0.16,958.7,0.0000155,15.48,0.17,953.7,0.0000276,27.61,0.24,953.7,0.0001384,138.42,0.53,953.7,0.0001662,166.21,0.64,958.7,0.000048,48.02,0.31
,1728AKATSI_2,AKATSI,MTN,959.2,0.000555,554.97,0.00055497,1.07,955.7,,0.0006888,688.8,1.19,955.7,0.000957,957,1.41,955.7,0.0008523,852.33,1.33,955.7,0.0007238,723.76,1.22,958.7,0.0004034,403.38,0.91,958.7,0.0003036,303.6,0.79,958.7,0.000431,431.02,0.94,959.2,0.0001009,100.91,0.45,959.2,0.0000228,22.8,0.21
0.109,AKATSI,AKATSI,AIRTEL,946.2,0.00001355,13.55,,0.17,947.7,,0.00001024,10.24,0.14,953.7,0.00000966,9.66,0.14,947.7,0.0000068,6.8,0.12,952.7,0.00001823,18.23,0.2,952.7,0.00000659,6.59,0.11,953.7,0.00000554,5.54,0.1,953.7,0.00000254,2.54,0.07,953.7,0.00000235,2.35,0.07,947.7,0.0000067,6.7,0.11
,Akatsi,AKATSI,TIGO,946.2,0.00007143,71.43,,0.38,937.2,,0.00002205,22.05,0.21,937.2,0.00004487,44.87,0.3,944.2,0.00004089,40.89,0.23,952.7,0.00005044,50.44,0.32,941.2,0.0000424,42.4,0.3,953.7,0.00001756,17.56,0.19,953.7,0.00003672,36.72,0.27,946.2,0.00004675,46.75,0.31,953.7,0.00003159,31.59,0.25
