region,site ID,Site name,Operator,,  Is site properly fenced and locked?,,stopped by security and identification checked,,visitor log maintained,,Is there a site emergency contact list?,, Are  signs   posted as required?,,Is security fences  intact and locks operational?,,Are there  signs of soil erosion that may weaken tower and anchor bases ?,,Is the  site  well cleaned and maintained?,,Has any  spillage taken place? ,,Is the concrete that is visible in overall good condition?(tower stubs and foundations),,Is the concrete that is visible in overall good condition? (all equipment plinths),,Is there grout  applied to the tower base?,,Are there any signs of rust or corrosion on anchor bolts?,,Are any of the nuts missing  on the HD bolts?,,Are the  RF exposure signs  mounted to the tower?,,Is tower painting  in overall good condition?,,Are there any rusted or missing members?,,Are there any missing bolts and nuts?,,Are navigation lights installed and in working order?,,Is climbing ladder installed and in good condition?,,Is safety cage installed and in good condition?,,Is  the tower level and plumb?,,Is there a visible twist in the tower?,,Is it close to the nearest inhabited building?,,Is there a lightning spike fitted to the top of tower all earth connections terminated?,,Is there  space available on ladder to accommodate additional feeder cables?,, Climbing ladder installed and in good condition?,,Is there space available to fit additional RF or MW antennas?,, Is there a shelter or brick enclosures?,,Is the shelter or brick enclosure  in  good condition?,,Have all earthing connections been terminated?,, Is there any intrusion system fitted?,,Are there traces of acid on the UPS battery and rectifier installation?,,Is the UPS batter array maintained on a regular basis?,,Are  RF cables secured properly in cable tray/ladder?,,Is the overall condition of feeder cables and waterproofing  good ?,,Are there any unused cables?,,Do you not any cables that have not been terminated?,,Is there fire alarm present?,,Is there an  intrusion alarm installed?,,Is there generator installed on site?,,Is the overall condition of the generatorand fuel tank/piping acceptable?,,Are the power cables in  good condition?,,Are the  cables properly insulated and terminated?,,Are the  appriporiate ECG meters installed on site?,,
7,3097, HUHUNYA OLD MARKET,YILO KROBO,VODAFONE,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,NIL,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,NULL,YES,,YES,,,,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,DSC01095,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,146,0146 SOMANYA AIRTEL,Yilo Krobo,aritel,yes,,no,,no,,yes,,yes,,yes,,no,,no,DSC00703,no,,yes,,yes,,yes,,no,,no,,yes,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,DSC00733,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,YES,null,YES,,yes,,yes,,no,,no,,YES,,YES,,yes,,yes,,yes,,yes,,YES,,
7,GH0151,0151 MPREASO AIRTEL,KWAHU SOUTH,AIRTEL,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,SDC11745,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NA,SDC11748,NA,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,GH0439,0439 TEASE AIRTEL,Kwahu North,AIRTEL,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,SDC12450,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
3,0.601,0601TAMALE_1,WEST DAGOMBA,MTN,YES,PC010134,YES,,YES,,YES,,YES,,YES,,NO,NULL,YES,,NO,PC010138,YES,,YES,,NO,PC010144,NO,NULL,NO,NULL,NO,PC010136,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PC010146,YES,,NO,NULL,YES,,YES,,NO,PC010149,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,YES,,NO,,YES,,YES,,YES,,YES,,YES,,
3,D603,0603TAMALE_3,TAMALE,MTN,yes,,yes,,yes,,yes,,yes,,yes,,no,,yes,,no,,yes,,yes,,yes,,yes,,yes,,no,,no,,no,,no,,yes,,yes,,yes,,yes,,no,,yes,,yes,,no,,yes,,no,,yes,,yes,,yes,,yes,,,,,,yes,,yes,,no,,no,,yes,,no,,yes,,yes,,yes,,yes,,yes,,
3,0.605,0605TAMALE2,TAMALE,MTN,YES,,NO,NULL,NO,NULL,NO,NULL,NO,PC030438,YES,,NO,NULL,YES,,NO,NULL,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PC030440,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PC030447,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,YES,,NO,PC030446,YES,,YES,,YES,,YES,,NO,PC030434,
3,CS0457,0607SAVELUGU,SAVELUGU,MTN,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,,,,,YES,,YES,,NO,,NO,,NO,,NO,,,,,,YES,,YES,,NO,,
3,CS0465,0620WALEWALE,WALEWALE,MTN,YES,,NO,NULL,NO,NULL,NO,NULL,NO,PB151045,YES,,NO,NULL,NO,PB151049,NO,NULL,YES,,YES,,NO,PB151049,NO,NULL,NO,NULL,NO,PB151054,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB151054,YES,,NO,NULL,YES,,YES,,NO,PB151054,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,YES,,NO,PB151045,YES,,YES,,YES,,YES,,YES,,
7,634,0634 Odumase Krobo AIRTEL,MANYA KROBO,aritel,yes,,no,,no,,yes,,yes,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,no,null,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,DSC01236,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,YES,null,YES,,yes,,yes,,no,,no,,YES,,YES,,yes,,yes,,yes,,yes,,YES,,
