region,Site name,Is the  site  well cleaned and maintained?,,
2294,manet court,-1,8,manet court/100_0444.jpg
2295,manet mtn,-1,8,manet mtn/100_0458.jpg
1207,NSAWAM RS,-1,8,NSAWAM RS/100_3506.jpg
940,KIBI,-1,8,KIBI/100_4064.jpg
1277,OSINO GT,-1,8,OSINO GT/100_4228.jpg
25,0785 OSINO,-1,8,0785 OSINO/100_4309.jpg
1158,NEW TAFO (OLD 105),-1,8,NEW TAFO (OLD 105)/100_9582.jpg
28,0797 NEW TAFO,-1,8,0797 NEW TAFO/100_9711.jpg
1029,KUKURANTUMI,-1,8,KUKURANTUMI/100_9805.jpg
1131,NANKESE,-1,8,NANKESE/101_0002.jpg
1775,ASOKUSA POLICE ST,-1,8,ASOKUSA POLICE ST/20121012_080945.jpg
1665,0308ADUM,-1,8,0308ADUM/cs0185_ct0007_se0053_1350130354576.jpg
1669,Adum Central,-1,8,Adum Central/cs0479_ct0003_se0047_1352475792456.jpg
1643,ABOASO,-1,8,ABOASO/cs0487_ct0003_se0064_1351267099358.jpg
615,BOSOMOISO MTN,-1,8,BOSOMOISO MTN/cs0509_ct0002_se0007_1350555020331.jpg
1422,TAKORADI 2,-1,8,TAKORADI 2/cs0693_ct0001_se0012_1350469430017.jpg
1356,SHAMA MTN,-1,8,SHAMA MTN/cs0697_null_null_1351522262791.jpg
1271,OSEI KOJO MTN,-1,8,OSEI KOJO MTN/cs0697_null_null_1351522465463.jpg
206,ABOADZE MTN,-1,8,ABOADZE MTN/cs0703_null_null_1352298361915.jpg
1688,Agric Nzema,-1,8,Agric Nzema/cs0949_ct0012_se0004_1350734251854.jpg
1673,0314AFRANCHO,-1,8,0314AFRANCHO/cs1064_ct0003_se0047_1351599775796.jpg
898,JUABOSO MTN,-1,8,JUABOSO MTN/cs1151_ct0003_se0047_1350403718413.jpg
472,ASASETRE MTN,-1,8,ASASETRE MTN/cs1157_null_null_1352287308238.jpg
351,AKONTOMBRA MTN,-1,8,AKONTOMBRA MTN/cs1159_ct0004_se0008_1350553163649.jpg
779,ESSAM DBISO MTN,-1,8,ESSAM DBISO MTN/cs1171_null_null_1351765451148.jpg
