142,BABILE,BABILE,MTN,956.7,0.00030978,309.78,0.02,1809,0.00011234,112.34,0.01,0,0,0,0,955.2,0.00012737,127.37,0.01,1809,0.00012045,120.45,0.01,0,0,0,0,952.7,0.00036261,362.61,0.02,1809,0.00006427,64.27,0.02,0,0,0,0
GH-0436,BABILE,BABILE,AIRTEL,952.7,0.00006307,63.07,0.01,1840,0.00011207,112.07,0.01,0,0,0,0,940.2,0.00001307,13.07,0.01,1809,0.0001102,110.2,0.01,0,0,0,0,952.7,0.00000127,1.27,0.01,1840,0.00011237,112.37,0.01,0,0,0,0
,BASSISAN,BASSISAN,EXPRESSO,936.2,0.000053,53,0.02,1805,0.000069,69,0.02,,,,,947.2,0.000069,69,0.02,1805,0.000069,69,,,,,,945.7,0.00007,70,0.03,1805,0.000069,69,0,,,,
1593,BASSISAN,BASSISAN,TIGO,936.2,0.000032,32,0.22,,,,,,,,,937.2,0.000036,36,0.15,,,,,,,,,936.2,0.000037,37,0.13,,,,,,,,
UEGH082,Bawku,Bawku,AIRTEL/OTHER,955,0.000048,48,0.2,1841,0.000054,54,0.1,,,,,939.2,0.000049,49,0.22,1860,0.000068,68,0.08,,,,,939.2,0.000034,34,0.3,1860,0.000064,64,0.19,,,,
GH-0344,BOO,BOO,AIRTEL,940.2,0.00016789,167.89,0.01,1809,0.0006641,664.1,0.02,,,,,940.2,0.00028376,283.76,0.02,1809,0.00048084,480.84,0.02,,,,,940.2,0.00036497,364.97,0.02,1809,0.00000122,1.22,0.03,,,,
2972,2972BORO,BORO,MTN,957.2,0.000021,21,1.13,,,,,,,,,956.2,0.000019,19,1.03,,,,,,,,,952.7,0.00002,20,1.16,,,,,,,,
1582,BULENGA,BULENGA,TIGO/VODAFONE,958.7,0.000059,59,0.23,,,,,,,,,956.2,0.00007,70,0.19,,,,,,,,,952.7,0.000047,47,0.21,,,,,,,,
UWR 2640,BULENGA,BULENGA,MTN,959.2,0.000048,48,0.59,,,,,,,,,956.2,0.000025,25,0.52,,,,,,,,,958.3,0.000056,56,0.22,,,,,,,,
UW 1660,1660BUSA,BUSA,MTN,959.2,0.000023,23,0.67,,,,,,,,,954.2,0.000027,27,0.42,,,,,,,,,959.2,0.000041,41,0.45,,,,,,,,
UWR 2639,2639BUSSIE,BUSSIE,MTN,954.7,0.0001213,121.3,0.01,1805,0.00066648,666.48,0.02,0,0,0,0,9518,0.00013467,134.67,0.02,1804,0.00003076,30.76,0.01,0,0,0,0,952.7,0.00014553,145.53,0.01,1809,0.0003512,351.2,0.01,0,0,0,0
UE3790,3790CHALLO,CHALLO,MTN,956.7,0.000019,19,1.03,,,,,,,,,958.2,0.000051,51,0.66,,,,,,,,,954.2,0.000023,23,0.64,,,,,,,,
